City_Name,Restaurant_Name,Request_Time_Local,Final_Delivery_Time_Local,Order_Status,Item_Name,Item_quantity,Customizations,Customization_Cost_Local,Special_Instructions,Item_Price,Order_Price,Currency
Tampa Bay,CVS (845 4Th St. North),2026-02-01T15:42:03.000Z,2026-02-01T16:48:32.000Z,completed,"Airheads Candy, Rainbow Berry (4.5 oz)",2,"",,"",5.98,32.11,USD
Tampa Bay,CVS (845 4Th St. North),2026-02-01T15:42:03.000Z,2026-02-01T16:48:32.000Z,completed,"Ruffles Baked Potato Chips, Cheddar & Sour Cream (6.25 oz)",1,"",,"",4.99,32.11,USD
Tampa Bay,CVS (845 4Th St. North),2026-02-01T15:42:03.000Z,2026-02-01T16:48:32.000Z,completed,"Coca-Cola Original Soda, Cherry (20 fl oz)",1,"",,"",3.19,32.11,USD
Tampa Bay,CVS (845 4Th St. North),2026-02-01T15:42:03.000Z,2026-02-01T16:48:32.000Z,completed,Dr Pepper Diet Soda (20 fl oz),1,"",,"",3.19,32.11,USD
Tampa Bay,CVS (845 4Th St. North),2026-02-01T15:42:03.000Z,2026-02-01T16:48:32.000Z,completed,"Lay's Potato Chips, Bbq (2.62 oz)",1,"",,"",2.69,32.11,USD
Tampa Bay,Gopuff - Liquor & More,2026-02-01T14:49:02.000Z,2026-02-01T15:42:56.000Z,completed,"Ruffles Baked Potato Chips, Cheddar & Sour Cream (6.25 oz)",1,"",,"",5.69,34.45,USD
Tampa Bay,Gopuff - Liquor & More,2026-02-01T14:49:02.000Z,2026-02-01T15:42:56.000Z,completed,Dr Pepper Diet Soda (20 fl oz),1,"",,"",3.29,34.45,USD
Tampa Bay,Gopuff - Liquor & More,2026-02-01T14:49:02.000Z,2026-02-01T15:42:56.000Z,completed,"MIKE AND IKE Megamix Sour Candies, Assorted (10 oz)",1,"",,"",5.49,34.45,USD
Tampa Bay,Gopuff - Liquor & More,2026-02-01T14:49:02.000Z,2026-02-01T15:42:56.000Z,completed,"Airheads Candy, Rainbow Berry (4.5 oz)",1,"",,"",2.39,34.45,USD
Tampa Bay,Gopuff - Liquor & More,2026-02-01T14:49:02.000Z,2026-02-01T15:42:56.000Z,completed,Coca-Cola Original Taste Soda (16 oz),1,"",,"",2.79,34.45,USD
Tampa Bay,Gopuff - Liquor & More,2026-02-01T14:49:02.000Z,2026-02-01T15:42:56.000Z,completed,"Lay's Potato Chips, Honey Barbecue (7.75 oz)",1,"",,"",5.89,34.45,USD
Tampa Bay,7-Eleven (475 34Th St N),2026-01-26T14:14:41.000Z,2026-01-26T14:32:49.000Z,completed,Coca-Cola Original Taste Soda (16 fl oz),1,"",,"",2.69,27.7,USD
Tampa Bay,7-Eleven (475 34Th St N),2026-01-26T14:14:41.000Z,2026-01-26T14:32:49.000Z,completed,Airheads Candy Bars (5 x 0.55 oz),2,"",,"",5.18,27.7,USD
Tampa Bay,7-Eleven (475 34Th St N),2026-01-26T14:14:41.000Z,2026-01-26T14:32:49.000Z,completed,Charms Super Blow Pops 1.13oz,2,"",,"",1.98,27.7,USD
Tampa Bay,7-Eleven (475 34Th St N),2026-01-26T14:14:41.000Z,2026-01-26T14:32:49.000Z,completed,"Chester's Fries Corn Snacks, Flamin Hot (5.25 oz)",1,"",,"",3.39,27.7,USD
Tampa Bay,PDQ Chicken (St. Pete),2026-01-26T12:51:23.000Z,2026-01-26T13:26:08.000Z,completed,Honey Butter Sandwich Meal,1,"Light Ice, Fries, No B&B pickles, Regular Beverage, 20oz Coke",0.0,"",14.09,27.17,USD
Tampa Bay,PDQ Chicken (St. Pete),2026-01-26T12:51:23.000Z,2026-01-26T13:26:08.000Z,completed,Honey Butter Sandwich Meal,1,Creamy Garlic,0.98,"",14.09,27.17,USD
Tampa Bay,PDQ Chicken (St. Pete),2026-01-26T12:51:23.000Z,2026-01-26T13:26:08.000Z,completed,Honey Butter Sandwich Meal,1,Ranch,0.49,"",14.09,27.17,USD
