Event Time (UTC),GPS Time (UTC),Horizontal Accuracy,Latitude,Longitude,Speed (GPS),City,Cellular Carrier,Carrier MCC,Carrier MNC,Google Play Services Status,Device ID,IP Address,Device Language,Device Model,Device OS,Device OS Version,Region,Session Start Time (UTC),Analytics Event Type
2026-04-11 02:33:26.874,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,custom
2026-04-11 02:33:26.607,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,custom
2026-04-11 02:33:27.166,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,impression
2026-04-11 02:33:26.643,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,custom
2026-04-11 02:33:26.012,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,custom
2026-04-11 02:33:27.180,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,impression
2026-04-11 02:33:27.179,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,impression
2026-04-11 02:33:27.379,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,impression
2026-04-11 02:33:27.379,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,impression
2026-04-11 02:33:25.987,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,custom
2026-04-11 02:33:26.024,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,custom
2026-04-11 02:33:26.109,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,custom
2026-04-11 02:33:26.098,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,custom
2026-04-11 02:33:26.147,2026-04-11 02:33:25.323,16.000356349769646,27.77178,-82.65678,-1.0,tampa,,,,,FB907E04-4360-42E4-B410-F63E4BE8550F,,en_US,"iPhone14,5",ios,26.3.1,US,2026-04-11 02:33:02.042,custom
